Tender Title,Organization,Description,Procurement stage,Notice status,Approach to market date,Closing,Contract location,Min Contract value,Max Contract value,Publication date,Last Edited
Allington Solar Park Development,Eastleigh Borough Council,"This package must deliver a fully designed, specified and implementable ground mounted solar park which specifies all works to be carried out within the boundary of the site. It should also deliver all necessary planning consents and approvals to allow the works to be implemented.

Please visit ProContract to register your interest in this ...",Opportunity,Open,Not Available,"18 November 2022, 12pm",England,100000,150000,4 November 2022,7 November 2022
Multiuse LiDAR,Board of Trustees of the Royal Botanic Gardens Kew,"RBGKEW is looking to procure multiuse (handheld, on drone and vehicles) LiDAR equipment and accessories which can capture and map 3D data quickly with high relative accuracy. Equipment will need to be handheld or can be mounted on vehicles (cars, buggies, and drones). This kit will allow the rapid mapping of landscapes and vegetation structure, ...",Opportunity,Open,Not Available,"25 November 2022,  4pm",TW9 3AB,100000,Not Available,7 November 2022,Not Available
"Harrogate District CCTV, Network Maintenance, Servicing and Additional Works",Harrogate Borough Council,"To maintain and service Harrogate Borough Council's comprehensive CCTV network. This network includes the Harrogate based CCTV control room and all component equipment, public open space cameras in Harrogate, Ripon and Knaresborough and CCTV systems in a variety of council buildings, car parks and offices.",Opportunity,Open,Not Available,"5 December 2022, 12pm",HG1 2AE,60000,90000,7 November 2022,Not Available
PROVISION OF CONTRACT HIRE OF [6 OR 7] 32T HOOKLIFT VEHICLES AND MAINTENANCE,Gloucestershire County Council,"This Invitation to Tender is issued by Ubico Limited (""Company"") using the Gloucestershire County Council (GCC) e-procurement portal. The Contract is for the provision of contract hire and maintenance of [6 or 7], 32T hook lift loader. These vehicles must be new, with no previous owners or hirers prior to 01 August 2023. The vehicles are to be used...",Opportunity,Open,Not Available,"6 December 2022, 12pm",England,1800000,Not Available,7 November 2022,Not Available
Meridian Academies Trust ~ Cleaning Tender,Meridian Academies Trust,The successful Supplier will be required to provide cleaning services for Meridian Academies Trust.,Opportunity,Open,Not Available,"16 December 2022, 12pm",East Midlands,9500000,Not Available,7 November 2022,Not Available
COV - Strategic Energy Partner,Coventry City Council (COV),"The Council recognises the role it must play in mitigating and adapting to the Climate Emergency, as a key influencer and policy maker. It also has a key role in delivering economic growth in the city and tackling inequalities. All three areas make up strands of the One Coventry plan. Providing the right energy infrastructure across the city is ...",Opportunity,Open,Not Available,"31 January 2023, 12pm",CV1 2GN,0,Not Available,7 September 2022,7 November 2022
Provision of Children and Young Peoples Targeted Emotional Wellbeing Mental Health Services - Harrow,NHS North West London Integrated Care Board,NHS NW London ICB requires the Provision of Children and Young Peoples Targeted Emotional Wellbeing Mental Health Services in Harrow. The service aims at supporting families and carers who are in need by improving mental health and emotional wellbeing. NHS NW London ICB selected to undergo a competitive procurement process using an open procedure ...,Opportunity,Open,Not Available,"2 December 2022, 12pm",NW1 5JD,2750000,Not Available,3 November 2022,7 November 2022
"Amberley & Harrogate Street, Sunderland - New Build Development",Thirteen Housing Group Ltd,"This scheme contributes towards Thirteen Group's strategic plan incorporating Wave 2 funding requirements of North East, MMC, Zero Carbon Ready and Brownfield Regeneration and would be part of our strategic partnership with Sunderland. All units are intended for Affordable Rent tenure and the mix has been determined with the input of our ...",Opportunity,Open,Not Available,"27 January 2023, 12pm",TS2 1QG,19000000,20000000,27 October 2022,7 November 2022
City Wide Application of Weed Spraying,Hull City Council,Hull City Council Street Cleansing & Waste Management Department is looking to procure the City Wide Application of Weed Spraying. The Council is looking for providers who are interested in bidding for this contract who shall undertake weed spraying and control services to footways and hard surfaced areas on or adjacent to all adopted highways ...,Opportunity,Open,Not Available,"7 December 2022,  5pm",HU1 2AA,80000,100000,7 November 2022,Not Available
Supply of Bulk Fuel Tank,Cheshire Constabulary on behalf of the Police and Crime Commissioner for Cheshire,"The requirement is for an above ground fuel tank solution to include supply, delivery, installation with a supporting fuel management system. We are looking at alternate options and would like to consider standalone only tanks versus a split compartment tank solution, however the overall requirement is only for one tank solution. 
In addition, ...",Opportunity,Open,Not Available,"25 November 2022, 10am",CW7 2UA,0,Not Available,7 November 2022,Not Available
Esher Sixth Form College ~ Cleaning Tender,Esher Sixth Form College,"The successful Supplier will be required to provide catering services for Esher Sixth Form College, Weston Green Road, Thames Ditton, Surrey, KT7 0JB.",Opportunity,Open,Not Available,"16 December 2022, 12pm",South East,1794150,Not Available,7 November 2022,Not Available
Kensington Memorial Park Photovoltaic System Installation,capitalEsourcing,The Royal Borough of Kensington and Chelsea will soon be seeking proposals for installing a Photovoltaic (PV) System in Kensington Memorial Park to reduce the running costs of the children's water play park.  The water play park is open between May and September and runs continuously during its hours of opening. The PV system will be installed ...,Early engagement,Open,Not Available,9 December 2022,W10 6LH,Not Available,Not Available,7 November 2022,Not Available
Paper Object Conservation,National Army Museum,"The National Army Museum (NAM) wishes to appoint a conservation company or individual conservator ('the conservator') to conserve and mount or frame 52 paper items in preparation for their display in the Museum from February 2023.

Tender submissions are requested from suitably qualified and experienced contractors. It is beneficial, ...",Opportunity,Open,Not Available,"28 November 2022, 10am","London, South East",9500,Not Available,7 November 2022,Not Available
390_22 Document Management Solutions,ESPO,"ESPO is seeking to renew its framework agreement for Document Management Solutions. The frameworks covers a wide range of services linked to the scanning and/or storage of documents:

Lot 1 - Electronic Document Scanning and Software
Lot 2 - Document Storage and Retrieval Services
Lot 3 - Total Document Management Solution
Lot 4 - Enhanced Handling...",Opportunity,Open,Not Available,"24 November 2022, 12pm",United Kingdom,160000000,Not Available,14 October 2022,7 November 2022
Customer Relationship Management System (CRM) Market Engagement,Doncaster Council,"MARKET ENGAGEMENT REQUEST
Doncaster Council is conducting a market assessment to gain an understanding of the current Customer Relationship Management System market, what products are available and to explore and benchmark pricing structure in the market. This market engagement will inform our future procurement plans.   Doncaster Council has ...",Opportunity,Open,Not Available,"30 November 2022, 12pm",Yorkshire and the Humber,0,Not Available,7 November 2022,Not Available
IDG - Student Systems Improvements Service,The University of Warwick,"The University of Warwick has a requirement for the provision of IT technical Services to provide additional capacity to support the enhancement of an existing estate of student systems. 
      
      In order to express interest in this opportunity please go to the University of Warwick In-Tend supplier portal (https://in-tendhost.co.uk/ ...",Opportunity,Open,Not Available,"28 November 2022, 12pm",CV4 7AL,500000,550000,7 November 2022,Not Available
Residential Respite Services for adults with a learning disability,London Borough of Merton,"The London Borough of Merton (""the Council"") is inviting tenders, from those suppliers shortlisted in the initial Supplier Selection stage, to provide Care Quality Commission (CQC) Regulated 6-Unit residential respite services for adults with a learning disability at 138 All Saints Road, London, SW19.

For further information and/or access to this...",Opportunity,Open,Not Available,"6 December 2022, 12pm",England,1626000,Not Available,7 November 2022,Not Available
